Team, Matches Played , Won,Drown, Lost,Goals,Goals conceded,Left Foot, Head, Right Foot,Other,Assists,Attacks,Attempts Off Target,Attempts On Target,Balls Recovered, Clean sheets,Ball Blocked,Corners Taken,Crosses No Completed,Crosses Completed,Clearences attempted, Crosses Attempted,Crossing Accuracy,Dribbles,Fouls Commited, Fouls Sufferd, Free Kicks Taken,Goal Inside Area,Goal Outside Area,Offsides,Passes Attempted,Own goals conceded,Passes Completed,Passes No Completed,Penalties Scored,Passing Accurecy,Punches made,Possession(%),Saves,Saves from penalties,Tackles,Tackles won,Tackles lost,Total Attempts,Time Won, Yellow Card, Red Card,Flags
Albania,3,0,1,2,3,5,1,1,1,0,1,75,9,13,115,0,11,6,21,7,67,28,25,30,24,36,40,3,0,6,1085,1,917,168,0,84.3,3,38,9,0,33,14,19,33,0,7,0,https://www.worldometers.info/img/flags/al-flag.gif
Austria,4,2,0,2,7,6,1,2,3,0,6,205,15,22,179,0,15,21,62,27,62,89,30.3,38,61,40,42,6,0,5,1900,1,1621,279,1,85,1,53,7,0,66,20,46,52,0,12,0,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg
Belgium,4,1,1,2,2,2,0,0,2,0,2,207,13,20,130,2,19,21,37,7,66,44,15.9,69,41,37,42,1,1,7,2071,1,1816,255,0,87.8,0,53.8,14,0,51,28,23,52,0,8,0,https://www.worldometers.info/img/flags/be-flag.gif
Croatia,3,0,2,1,3,6,1,0,1,0,2,152,16,14,126,0,12,5,40,14,39,54,25.9,45,46,29,37,2,0,0,1685,0,1510,175,0,89.3,2,55.3,9,0,42,17,25,42,0,7,0,https://www.worldometers.info/img/flags/hr-flag.gif
Czechia,3,0,1,2,3,5,0,0,2,1,2,125,13,18,104,0,12,14,53,15,72,68,22.1,34,42,24,31,2,1,2,995,1,787,208,0,76.3,2,41.3,10,0,45,19,26,43,0,13,2,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/640px-Flag_of_the_Czech_Republic.svg.png
Denmark,4,0,3,1,2,4,0,0,2,0,2,185,18,16,171,1,18,27,56,20,57,76,26.3,39,48,28,39,1,1,8,2243,0,1943,300,0,86.3,1,50.5,12,0,64,28,36,52,1,9,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/640px-Flag_of_Denmark.svg.png
England,7,3,3,1,8,4,3,2,3,0,6,344,24,22,238,3,29,22,75,22,81,97,22.7,120,55,95,101,6,2,11,4289,0,3839,450,1,89,3,55.7,14,0,76,37,39,75,0,14,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Flag_of_England.svg/640px-Flag_of_England.svg.png
France,6,2,3,1,4,3,0,1,1,0,3,341,46,24,231,4,28,34,89,30,115,119,25.2,129,64,69,75,2,0,5,3235,0,2926,309,1,89.8,4,49,16,0,72,29,43,98,2,9,0,https://www.worldometers.info/img/flags/fr-flag.gif
Georgia,4,1,1,2,5,8,1,0,3,0,3,103,15,8,169,1,8,14,39,8,127,47,17,70,30,46,54,4,0,1,1302,0,1072,230,2,81.5,4,38.3,29,0,70,34,36,31,0,7,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/640px-Flag_of_Georgia.svg.png
Germany,5,3,1,1,11,4,3,1,7,0,8,321,35,33,211,2,26,36,79,36,73,115,31.3,68,68,60,72,9,2,12,3235,1,2949,286,2,91.2,1,59.2,11,0,68,23,45,94,3,14,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/640px-Flag_of_Germany.svg.png
Hungary,3,1,0,2,2,5,0,1,1,0,2,94,13,10,95,1,7,15,43,11,76,54,20.4,27,32,39,46,2,0,9,1116,0,910,206,0,81.3,2,41.3,9,0,51,15,36,30,0,10,0,https://www.worldometers.info/img/flags/hu-flag.gif
Italy,4,1,1,2,3,5,0,1,2,0,2,175,16,10,137,0,17,24,53,21,53,74,28.4,33,42,49,52,2,1,5,2359,1,2107,252,0,88.8,1,52.5,14,1,52,19,33,43,2,10,0,https://www.worldometers.info/img/flags/it-flag.gif
Netherlands,6,3,1,2,10,7,1,1,7,0,8,83,37,22,178,2,21,33,73,29,109,102,28.4,84,66,54,64,7,2,14,2869,1,2554,315,0,88.8,4,52.7,18,0,72,26,46,80,0,11,0,https://www.worldometers.info/img/flags/nl-flag.gif
Poland,3,0,1,2,3,6,0,1,2,0,1,83,13,13,105,0,10,10,33,10,45,43,23.3,45,40,34,37,3,0,2,1080,0,898,182,1,82.7,3,41,16,0,42,21,23,36,0,8,0,https://www.worldometers.info/img/flags/pl-flag.gif
Portugal,5,2,2,1,5,3,2,0,1,0,2,379,34,25,203,3,30,47,121,32,71,153,20.9,145,41,57,68,3,0,13,3643,0,3303,340,0,90.4,1,64.8,11,0,73,33,40,89,1,10,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/640px-Flag_of_Portugal.svg.png
Romania,4,1,1,2,4,6,1,0,3,0,2,138,16,15,112,1,6,16,35,6,108,41,14.6,40,38,36,48,2,2,3,1214,0,933,281,1,76.8,4,40.8,16,0,45,13,32,37,0,9,0,https://www.worldometers.info/img/flags/ro-flag.gif
Scotland,3,0,1,2,2,7,1,0,0,0,2,76,7,3,91,0,6,7,31,12,70,43,27.9,19,36,38,53,1,0,3,1128,0,917,211,0,80.7,2,46.3,12,0,42,10,32,16,0,5,1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_Scotland.svg/640px-Flag_of_Scotland.svg.png
Serbia,3,0,2,1,1,2,0,1,0,0,1,117,8,6,110,1,12,13,53,16,60,69,23.2,26,32,30,33,1,0,3,1552,0,1356,196,0,87.7,3,51.3,8,0,44,15,29,26,0,9,0,https://www.worldometers.info/img/flags/rs-flag.gif
Slovakia,4,1,1,2,4,5,0,2,2,0,4,169,23,16,158,1,11,17,48,19,81,67,28.4,40,49,46,55,4,0,8,1836,0,1527,309,0,82.5,8,47.5,12,0,52,16,36,50,0,8,0,https://www.worldometers.info/img/flags/sk-flag.gif
Slovenia,4,0,4,0,2,2,1,0,1,0,1,117,19,9,172,2,7,13,35,12,142,47,25.5,39,51,34,43,1,1,9,1252,0,940,312,0,75,6,35.5,14,1,79,35,44,35,0,11,1,https://www.worldometers.info/img/flags/si-flag.gif
Spain,7,7,0,0,15,3,7,2,5,0,12,411,49,42,270,4,32,44,90,37,107,127,29.1,143,94,75,81,13,1,11,4088,1,3698,390,0,90.2,1,58.1,16,1,79,30,49,123,4,16,1,https://upload.wikimedia.org/wikipedia/commons/6/6f/Spain_flag_300.png
Switzerland,5,2,3,0,8,4,2,0,6,0,6,281,22,21,177,1,15,23,53,10,107,63,15.9,53,60,54,64,6,2,9,2360,0,2072,288,0,86.8,2,48.2,8,0,51,16,35,58,0,10,0,https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Switzerland.svg
Türkiye,5,3,0,2,8,8,2,2,4,0,5,213,26,23,183,0,22,32,59,25,126,84,29.8,84,47,55,69,6,2,6,2282,2,1975,307,0,86,3,49,16,0,77,35,42,71,0,20,1,https://img.freepik.com/free-vector/illustration-turkey-flag_53876-27134.jpg?t=st=1724024754~exp=1724028354~hmac=cd0ef26bd2e3b0ebc4939275410e15a893d371e597616c297da368e58cf5df69&w=1060
Ukraine,3,1,1,1,2,4,1,0,1,0,2,130,15,12,106,1,15,15,38,7,74,45,15.6,28,29,26,29,2,0,8,1403,0,1230,173,0,87.3,1,52,10,0,42,15,27,42,0,3,0,https://upload.wikimedia.org/wikipedia/commons/d/d2/Flag_of_Ukraine.png
